Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VerifyURL(FR),Chrome 67.0.3396.99,,2018-08-01 22:35:47,2018-08-01 22:37:02,1m - 15.253s,FAILED
,,,,,,
Test Cases/eBlox Reporting/TC-Login to Mysdworx,Chrome 67.0.3396.99,,2018-08-01 22:35:47,2018-08-01 22:36:14,27.071s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-01 22:35:48,2018-08-01 22:35:52,3.775s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-08-01 22:35:52,2018-08-01 22:35:59,7.830s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-08-01 22:35:59,2018-08-01 22:36:01,1.186s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-01 22:36:01,2018-08-01 22:36:14,13.319s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-01 22:36:14,2018-08-01 22:36:14,0.204s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 22:36:14,2018-08-01 22:36:14,0.170s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-08-01 22:36:14,2018-08-01 22:36:14,0.093s,PASSED
,,,,,,
Test Cases/Select Language/TC1 Verify NL language,Chrome 67.0.3396.99,,2018-08-01 22:36:14,2018-08-01 22:36:46,31.832s,FAILED
click,Chrome 67.0.3396.99,,2018-08-01 22:36:15,2018-08-01 22:36:46,31.447s,FAILED
,,,,,,
Test Cases/Menu-Mes rapports (NL)/TC1 Verify Deployer function,Chrome 67.0.3396.99,,2018-08-01 22:36:46,2018-08-01 22:37:01,15.130s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 22:36:47,2018-08-01 22:36:47,0.093s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 22:36:47,2018-08-01 22:36:58,11.024s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 22:36:58,2018-08-01 22:37:01,3.614s,PASSED
